家族,站A,站B,距离m,同方向共站,共线数,判定,ID-A,ID-B
同德围,同德围,同德围总站,288,,0,应合并(近距离),BV09355217,BV09001043
地铁南村万博,地铁南村万博总站,地铁南村万博站,285,,0,应合并(近距离),BV09174292,BV11570418
区政府东门,区政府东门站,区政府东门分站,285,,2,应合并(近距离),BV09293280,BV11562298
康乐村,康乐村1,康乐村,281,,14,应合并(近距离),BV09184531,BV11688348
新市墟,新市墟3,新市墟1,279,,5,应合并(近距离),BV09161217,BV09226083
交通大厦,交通大厦分站,交通大厦站,269,,0,应合并(近距离),BV11131149,BV11689917
省荣军医院(荣校),省荣军医院(荣校)2,省荣军医院(荣校),265,,2,应合并(近距离),BV09091929,BV09335698
凌塘村,凌塘村站2,凌塘村,260,,0,应合并(近距离),BV09324145,BV11689183
工研院,工研院站,工研院总站,259,,0,应合并(近距离),BV09069117,BV11487488
林和西路,林和西路2,林和西路3,258,,0,应合并(近距离),BV09383025,BV11509447
林和西路,林和西路2,林和西路,258,,0,应合并(近距离),BV09383025,BV11688381
六二三路,六二三路,六二三路站1,256,,0,应合并(近距离),BV11688352,BV09360104
棠下(三元里大道),棠下(三元里大道)1,棠下(三元里大道),255,,1,应合并(近距离),BV09172231,BV11687942
科学城路口,科学城路口,科学城路口站1,254,,6,应合并(近距离),BV11467027,BV09343742
科学城路口,科学城路口,科学城路口总站,254,,0,应合并(近距离),BV11467027,BV11010138
南沙小学,南沙小学站,南沙小学站2,253,,0,应合并(近距离),BV10018625,BV09099108
市中医院,市中医院,市中医院站2,250,,0,应合并(近距离),BV09000996,BV09385884
洛溪新城,洛溪新城分站,洛溪新城总站,249,,0,应合并(近距离),BV09239308,BV10016556
凌塘村,凌塘村站1,凌塘村,246,,0,应合并(近距离),BV09081166,BV11689183
华师附中,华师附中站,华师附中总站,245,,0,应合并(近距离),BV11519158,BV11216107
黄石路口,黄石路口1,黄石路口2,238,,0,应合并(近距离),BV11623985,BV09226098
金山村委,金山村委,金山村委总站,233,,0,应合并(近距离),BV10020017,BV11632496
白云路,白云路,白云路1,229,,2,应合并(近距离),BV11688476,BV09376615
珠光路,珠光路,珠光路总站,229,,0,应合并(近距离),BV10021759,BV10022678
科学城路口,科学城路口1,科学城路口,227,,3,应合并(近距离),BV09081247,BV11467027
华夏学院,华夏学院,华夏学院总站,227,,1,应合并(近距离),BV10621021,BV11491307
下芳村,下芳村,下芳村1,226,,0,应合并(近距离),BV10013605,BV11329135
程界村,程界村,程界村1,225,,14,应合并(近距离),BV11688554,BV09413159
上堂,上堂1,上堂,224,,6,应合并(近距离),BV09169832,BV11690379
沙河大街,沙河大街,沙河大街2,223,,3,应合并(近距离),BV10014271,BV09332378
新丰路口,新丰路口2,新丰路口站,216,,2,应合并(近距离),BV09209215,BV11688330
新市墟,新市墟1,新市墟4,215,,2,应合并(近距离),BV09226083,BV09404762
和平新村,和平新村3,和平新村1,214,,0,应合并(近距离),BV09010638,BV09238795
和平新村,和平新村1,和平新村,214,,0,应合并(近距离),BV09238795,BV11687875
鱼珠码头,鱼珠码头总站,鱼珠码头,213,,0,应合并(近距离),BV10018096,BV10582110
中医院,中医院分站,中医院,209,,5,应合并(近距离),BV11131300,BV09245149
广州大道南(叠景路口),广州大道南(叠景路口)1,广州大道南(叠景路口),208,,0,应合并(近距离),BV09183567,BV09181701
天河客运,天河客运站,天河客运站1,208,,5,应合并(近距离),BV10014277,BV09086211
金碧花园,金碧花园2,金碧花园,207,,0,应合并(近距离),BV09413160,BV09245151
清河市场,清河市场站,清河市场分站,206,,2,应合并(近距离),BV10019793,BV11258727
广州体院,广州体院2,广州体院站,204,,2,应合并(近距离),BV09271785,BV09375062
北斗渡口,北斗渡口站,北斗渡口站2,204,,1,应合并(近距离),BV09009791,BV09253463
北斗渡口,北斗渡口站2,北斗渡口站1,204,,0,应合并(近距离),BV09253463,BV09269674
金信路,金信路,金信路总站,203,,0,应合并(近距离),BV10022274,BV10019055
南方医院,南方医院2,南方医院总站,201,,0,应合并(近距离),BV09199575,BV10021222
中山七路,中山七路,中山七路2,200,,4,应合并(近距离),BV10016143,BV09194673
花地大道,花地大道站1,花地大道2,200,,0,应合并(近距离),BV09304066,BV09163014
黄埔港,黄埔港总站,黄埔港站,200,,0,应合并(近距离),BV10017404,BV11688549
长平村,长平村,长平村总站,200,,0,应合并(近距离),BV11086409,BV10018183
怡乐村,怡乐村1,怡乐村,199,,14,应合并(近距离),BV09317206,BV11687959
天河立交,天河立交,天河立交2,197,,5,应合并(近距离),BV10013640,BV09226112
如意坊,如意坊2,如意坊总站,197,,0,应合并(近距离),BV09382089,BV10022019
三元里大道中,三元里大道中3,三元里大道中2,196,,3,应合并(近距离),BV09341551,BV09164965
石溪,石溪站,石溪1,196,,3,应合并(近距离),BV10681379,BV09203867
中山六路,中山六路,中山六路站2,195,,13,应合并(近距离),BV09317509,BV09087077
东山口,东山口,东山口总站,194,,0,应合并(近距离),BV11309872,BV10017761
珠江村,珠江村,珠江村,192,,7,应合并(近距离),BV10018093,BV11386251
金沙洲路,金沙洲路2,金沙洲路,190,,0,应合并(近距离),BV11329134,BV11688450
六二三路,六二三路2,六二三路站1,189,,9,应合并(近距离),BV09355408,BV09360104
景泰坑,景泰坑总站,景泰坑2,186,,0,应合并(近距离),BV10405864,BV09304041
光塔路,光塔路总站,光塔路,185,,0,应合并(近距离),BV10022303,BV10018606
江海大道中,江海大道中1,江海大道中2,184,,13,应合并(近距离),BV09319409,BV09316963
江海大道中,江海大道中2,江海大道中,184,,0,应合并(近距离),BV09316963,BV11687940
黄埔东路(石化南路),黄埔东路(石化南路)总站,黄埔东路(石化南路),184,,0,应合并(近距离),BV09065963,BV09070814
西湾路,西湾路2,西湾路1,183,,6,应合并(近距离),BV09356487,BV09269673
广州体院,广州体院1,广州体院站,183,,1,应合并(近距离),BV09411494,BV09375062
江海大道中,江海大道中1,江海大道中总站,182,,0,应合并(近距离),BV09319409,BV11365453
江海大道中,江海大道中,江海大道中总站,182,,2,应合并(近距离),BV11687940,BV11365453
金海岸花园,金海岸花园,金海岸花园分站,182,,3,应合并(近距离),BV11687946,BV09305008
陈家祠,陈家祠2,陈家祠1,181,,2,应合并(近距离),BV09195327,BV09271075
和平新村,和平新村3,和平新村2,179,,5,应合并(近距离),BV09010638,BV09238796
和平新村,和平新村2,和平新村,179,,0,应合并(近距离),BV09238796,BV11687875
花地大道北(花地湾),花地大道北(花地湾)站,花地大道北(花地湾)1,179,,2,应合并(近距离),BV11688402,BV09304067
西塱,西塱2,西塱站2,178,,0,应合并(近距离),BV09177350,BV09041862
市中医院,市中医院站2,市中医院2,178,,0,应合并(近距离),BV09385884,BV09165635
石牌桥,石牌桥,石牌桥,177,,2,应合并(近距离),BV10014527,BV11694311
沙河大街,沙河大街1,沙河大街,175,,5,应合并(近距离),BV09330208,BV10014271
人民日报广东分社,人民日报广东分社,人民日报广东分社站2,172,,5,应合并(近距离),BV11688536,BV09313214
云台花园,云台花园2,云台花园3,172,,1,应合并(近距离),BV09364271,BV09364566
三元里大道(桂花岗),三元里大道(桂花岗),三元里大道(桂花岗)1,172,,5,应合并(近距离),BV11478560,BV11478033
罗冲围客运,罗冲围客运站,罗冲围客运站1,172,,2,应合并(近距离),BV10013779,BV11629687
嘉禾,嘉禾2,嘉禾,171,,0,应合并(近距离),BV09226080,BV10014476
鳌头公交,鳌头公交站,鳌头公交总站,171,,0,应合并(近距离),BV11530446,BV11596281
城东停车场,城东停车场总站,城东停车场,171,,0,应合并(近距离),BV11394024,BV11062016
八斗村,八斗村,八斗村总站,170,,0,应合并(近距离),BV10017637,BV10847082
五山路口,五山路口站,五山路口2,169,,4,应合并(近距离),BV11062767,BV09366519
五山路口,五山路口2,五山路口站1,169,,0,应合并(近距离),BV09366519,BV09368726
动物园,动物园2,动物园,169,,2,应合并(近距离),BV09327047,BV10014267
动物园,动物园2,动物园总站,169,,0,应合并(近距离),BV09327047,BV10014264
沙涌,沙涌2,沙涌1,167,,4,应合并(近距离),BV09167550,BV09080691
凌塘村,凌塘村总站,凌塘村,167,,0,应合并(近距离),BV10019604,BV11689183
山海连城,山海连城,山海连城总站,167,,0,应合并(近距离),BV11061616,BV09341766
五山路口,五山路口站,五山路口站2,166,,1,应合并(近距离),BV11062767,BV09372736
五山路口,五山路口站1,五山路口站2,166,,0,应合并(近距离),BV09368726,BV09372736
锦绣香江,锦绣香江,锦绣香江分站,165,,2,应合并(近距离),BV09176206,BV11172006
下沙,下沙,下沙,165,,0,应合并(近距离),BV10019592,BV11386267
地铁从化客运,地铁从化客运站2,地铁从化客运站1,165,,1,应合并(近距离),BV11168223,BV11154757
地铁从化客运,地铁从化客运站1,地铁从化客运站,165,,0,应合并(近距离),BV11154757,BV11154215
锦城花园,锦城花园1,锦城花园总站(东风东),164,,0,应合并(近距离),BV09364274,BV10014572
南浦村,南浦村,南浦村总站,164,,0,应合并(近距离),BV11690772,BV10018849
棠下村,棠下村,棠下村,163,,18,应合并(近距离),BV11647652,BV11649072
太和(谢家庄),太和(谢家庄),太和(谢家庄)1,159,,1,应合并(近距离),BV09027377,BV09408942
金沙洲路,金沙洲路1,金沙洲路3,157,,1,应合并(近距离),BV09369963,BV09010641
云城南二路,云城南二路,云城南二路总站,157,,0,应合并(近距离),BV10018318,BV10019539
华景新城,华景新城,华景新城,156,,0,应合并(近距离),BV09244990,BV10014575
大塘,大塘总站,大塘,156,,0,应合并(近距离),BV10016431,BV11673974
珠村,珠村,珠村,156,,3,应合并(近距离),BV10014557,BV11502696
庙头,庙头,庙头,156,,2,应合并(近距离),BV11386258,BV10014602
解放南路,解放南路,解放南路2,155,,13,应合并(近距离),BV11688454,BV09226091
革新路,革新路总站,革新路站,154,,0,应合并(近距离),BV10014587,BV11317287
文化公园,文化公园,文化公园总站,151,,0,应合并(近距离),BV11363917,BV10016238
体育中心,体育中心总站,体育中心总站,150,,1,应合并(近距离),BV10018645,BV09354795
白云路,白云路总站,白云路1,149,,0,应合并(近距离),BV10016236,BV09376615
黄石东路口,黄石东路口2,黄石东路口,148,,0,应合并(近距离),BV09167548,BV09005986
黄石路口,黄石路口,黄石路口2,148,,5,应合并(近距离),BV10013753,BV09226098
联和,联和2,联和,148,,0,应合并(近距离),BV09226063,BV11687903
太和,太和总站,太和总站1,148,,5,应合并(近距离),BV10019029,BV09173927
东风东路(陵园西路口),东风东路(陵园西路口)1,东风东路(陵园西路口)2,147,,0,应合并(近距离),BV09230319,BV09230320
广东工大(地铁区庄站),广东工大(地铁区庄站)2,广东工大(地铁区庄站)站1,147,,0,应合并(近距离),BV09348370,BV09048110
广师大,BRT广师大站,BRT广师大站,147,,2,应合并(近距离),BV09403159,BV09403156
体育中心,体育中心1,体育中心总站,145,,1,应合并(近距离),BV09375065,BV10018645
体育中心,体育中心,体育中心总站,145,,0,应合并(近距离),BV11688435,BV10018645
海印桥南,海印桥南1,海印桥南2,144,,3,应合并(近距离),BV09245639,BV09413050
动物园南门,动物园南门2,动物园南门,143,,0,应合并(近距离),BV09226115,BV11688456
石溪,石溪1,石溪总站,143,,0,应合并(近距离),BV09203867,BV10016626
高新沙路口,高新沙路口站,高新沙路口站1,139,,1,应合并(近距离),BV10014985,BV09100634
高铁庆盛,高铁庆盛总站,高铁庆盛站1,139,,0,应合并(近距离),BV11627208,BV09410623
体育中心,体育中心1,体育中心总站,138,,0,应合并(近距离),BV09226128,BV10018645
东风东路(广东工大),东风东路(广东工大)1,东风东路(广东工大),138,,1,应合并(近距离),BV09351618,BV09351283
夏园,夏园,夏园总站,138,,1,应合并(近距离),BV11687921,BV10014074
夏园,夏园,夏园总站,137,,0,应合并(近距离),BV09388858,BV10014074
动物园南门,动物园南门1,动物园南门,136,,1,应合并(近距离),BV09230318,BV11688456
珠村,珠村,珠村总站,135,,0,应合并(近距离),BV10014557,BV10016497
广州大道南(叠景路口),广州大道南(叠景路口)1,广州大道南(叠景路口)3,133,,3,应合并(近距离),BV09183567,BV09238939
中山六路,中山六路,中山六路1,133,,2,应合并(近距离),BV09317509,BV09340303
凌塘村,凌塘村站2,凌塘村1,133,,0,应合并(近距离),BV09324145,BV11341513
农林东,农林东,农林东2,132,,12,应合并(近距离),BV11688478,BV09172267
同和,同和2,同和3,131,,2,应合并(近距离),BV09209226,BV09217029
同和,同和3,同和,131,,0,应合并(近距离),BV09217029,BV11688408
荔湖城,荔湖城总站,荔湖城,131,,0,应合并(近距离),BV10632869,BV10562531
东风东路(陵园西路口),东风东路(陵园西路口)1,东风东路(陵园西路口),130,,8,应合并(近距离),BV09230319,BV11278289
琶洲大桥南,琶洲大桥南,琶洲大桥南2,130,,0,应合并(近距离),BV10013858,BV09345099
凌塘村,凌塘村1,凌塘村,129,,1,应合并(近距离),BV11341513,BV11689183
高铁庆盛,高铁庆盛站,高铁庆盛总站,129,,1,应合并(近距离),BV09394481,BV11627208
大北路,大北路,大北路分站,128,,0,应合并(近距离),BV09000378,BV11131343
南湾,南湾总站,南湾,128,,0,应合并(近距离),BV11472711,BV11386229
南湾,南湾,南湾,128,,0,应合并(近距离),BV11386229,BV10014603
江高(大松岗),江高(大松岗)总站,江高(大松岗),128,,0,应合并(近距离),BV11267411,BV09112239
同和,同和2,同和1,127,,3,应合并(近距离),BV09209226,BV09399597
同和,同和1,同和,127,,0,应合并(近距离),BV09399597,BV11688408
云台花园,云台花园3,云台花园,126,,0,应合并(近距离),BV09364566,BV11371562
瑞宝乡,瑞宝乡总站,瑞宝乡,125,,0,应合并(近距离),BV10021837,BV10022157
市红会医院,市红会医院,市红会医院1,123,,0,应合并(近距离),BV10016127,BV09226102
礼岗,礼岗,礼岗1,123,,1,应合并(近距离),BV10016110,BV09226106
凌塘村,凌塘村站1,凌塘村1,123,,3,应合并(近距离),BV09081166,BV11341513
广佛路口,广佛路口,广佛路口2,123,,0,应合并(近距离),BV09006180,BV09376899
芳村合兴苑,芳村合兴苑,芳村合兴苑总站,122,,0,应合并(近距离),BV11688507,BV10017990
华峰寺,华峰寺总站,华峰寺站,122,,0,应合并(近距离),BV11040301,BV09368447
文园,文园,文园,121,,0,应合并(近距离),BV09124283,BV09060273
动物园,动物园2,动物园1,117,,5,应合并(近距离),BV09327047,BV09340465
南方医院,南方医院1,南方医院总站,116,,0,应合并(近距离),BV09293281,BV10021222
丹水坑,丹水坑站2,丹水坑,116,,5,应合并(近距离),BV09192168,BV11687861
冼村,冼村3,冼村,115,,5,应合并(近距离),BV09262063,BV11086798
蒋村,蒋村总站,蒋村,115,,0,应合并(近距离),BV11459258,BV11544379
石牌村,石牌村2,石牌村4,114,,4,应合并(近距离),BV09256767,BV09387753
凤凰岗,凤凰岗总站,凤凰岗,114,,0,应合并(近距离),BV10021697,BV10014586
新塘汽车客运,新塘汽车客运总站,新塘汽车客运站,114,,1,应合并(近距离),BV11622608,BV10014147
西华路尾,西华路尾总站,西华路尾,113,,0,应合并(近距离),BV10021696,BV09243511
堑口,堑口2,堑口,112,,0,应合并(近距离),BV09179585,BV10885474
金碧花园,金碧花园1,金碧花园,112,,0,应合并(近距离),BV09407139,BV09245151
碧山村,碧山村1,碧山村,112,,11,应合并(近距离),BV09072664,BV09005647
岗顶,岗顶,岗顶,112,,12,应合并(近距离),BV11386239,BV11694282
广师大,BRT广师大站,广师大,112,,3,应合并(近距离),BV09403159,BV09397675
天河南,天河南2,天河南,111,,4,应合并(近距离),BV10405865,BV10017705
师大暨大,师大暨大,师大暨大,111,,18,应合并(近距离),BV09241986,BV11688561
茅岗,茅岗,茅岗,111,,0,应合并(近距离),BV11502695,BV10018275
华侨城,华侨城,华侨城分站,111,,3,应合并(近距离),BV09005810,BV11132734
江南大道南(地铁江泰路站),江南大道南(地铁江泰路站)总站,江南大道南(地铁江泰路站),110,,0,应合并(近距离),BV09364558,BV09364559
城西花园,城西花园,城西花园总站,110,,0,应合并(近距离),BV11688445,BV10014504
城西花园,城西花园1,城西花园2,110,,0,应合并(近距离),BV09244061,BV09302293
城西花园,城西花园1,城西花园总站,110,,0,应合并(近距离),BV09244061,BV10014504
创盈路中,创盈路中,创盈路中总站,110,,1,应合并(近距离),BV09236546,BV09370049
高新沙路口,高新沙路口站,高新沙路口1,110,,1,应合并(近距离),BV10014985,BV09122466
地铁天河智慧城,地铁天河智慧城站,地铁天河智慧城总站,110,,0,应合并(近距离),BV11313278,BV11600876
小北花圈,小北花圈2,小北花圈,109,,15,应合并(近距离),BV09316767,BV10013929
机场立交北,机场立交北1,机场立交北2,109,,0,应合并(近距离),BV09226089,BV09226069
机场立交北,机场立交北1,机场立交北,109,,0,应合并(近距离),BV09226089,BV10523474
农讲所,农讲所2,农讲所1,108,,11,应合并(近距离),BV09185490,BV09201207
白云花园,白云花园总站,白云花园,108,,0,应合并(近距离),BV10016927,BV11678022
梓元岗,梓元岗1,梓元岗2,107,,11,应合并(近距离),BV09368674,BV09368222
越秀公园,越秀公园2,越秀公园1,107,,5,应合并(近距离),BV09226094,BV09266313
天字码头,天字码头站,天字码头,107,,0,应合并(近距离),BV11136772,BV10582111
大基头,大基头,大基头总站,106,,0,应合并(近距离),BV10014585,BV10480093
天寿路,天寿路1,天寿路,106,,11,应合并(近距离),BV09306449,BV11688551
棠溪,棠溪,棠溪站1,106,,2,应合并(近距离),BV09001423,BV11562315
新市墟,新市墟4,新市墟2,106,,1,应合并(近距离),BV09404762,BV09226067
新市墟,新市墟2,新市墟,106,,1,应合并(近距离),BV09226067,BV11687839
家家乐医院,家家乐医院,家家乐医院1,106,,6,应合并(近距离),BV11688359,BV09212869
冼村,冼村2,冼村,105,,7,应合并(近距离),BV09323877,BV11086798
濂泉路口,濂泉路口2,濂泉路口1,105,,3,应合并(近距离),BV09412828,BV09318948
人和墟,人和墟2,人和墟总站,105,,2,应合并(近距离),BV09212864,BV10014381
体育中心东门,体育中心东门1,体育中心东门2,103,,0,应合并(近距离),BV09226124,BV09219091
荔湾路,荔湾路1,荔湾路,103,,0,应合并(近距离),BV09233339,BV09374429
市少年宫,市少年宫1,市少年宫,103,,0,应合并(近距离),BV09229322,BV11688449
天湖峰境,天湖峰境总站,天湖峰境,103,,0,应合并(近距离),BV10527811,BV11226217
太和文化广场,太和文化广场2,太和文化广场站,102,,6,应合并(近距离),BV09319309,BV09005242
西塱,西塱1,西塱站2,101,,1,应合并(近距离),BV09178250,BV09041862
桂花岗,桂花岗,桂花岗2,100,,0,应合并(近距离),BV10016229,BV11477576
广东大厦,广东大厦1,广东大厦,100,,0,应合并(近距离),BV09205705,BV10016774
芳村合兴苑,芳村合兴苑,芳村合兴苑2,100,,4,应合并(近距离),BV11688507,BV09259264
棠安路,棠安路站,棠安路总站②,100,,0,应合并(近距离),BV11430751,CL100019
同和,同和1,同和站2,98,,0,应合并(近距离),BV09399597,BV09396961
天河,天河1,天河,98,,0,应合并(近距离),BV09348371,BV11462418
黄石路口,黄石路口1,黄石路口,97,,9,应合并(近距离),BV11623985,BV10013753
越秀公园北门,越秀公园北门1,越秀公园北门,97,,0,应合并(近距离),BV09226120,BV09010640
明珠管委会,明珠管委会,明珠管委会总站,97,,1,应合并(近距离),BV10017884,BV11491312
广州大道南(叠景路口),广州大道南(叠景路口)2,广州大道南(叠景路口)3,96,,2,应合并(近距离),BV09184938,BV09238939
同和,同和3,同和站2,96,,0,应合并(近距离),BV09217029,BV09396961
金碧花园,金碧花园1,金碧花园2,96,,7,应合并(近距离),BV09407139,BV09413160
家家乐医院,家家乐医院2,家家乐医院1,95,,0,应合并(近距离),BV09291510,BV09212869
凌塘村,凌塘村总站,凌塘村站2,95,,0,应合并(近距离),BV10019604,BV09324145
黄石东路口,黄石东路口1,黄石东路口2,94,,8,应合并(近距离),BV11167648,BV09167548
广师大,BRT广师大站,广师大站,94,,2,应合并(近距离),BV09403159,BV09397777
中山大道东圃,公共汽车BRT中山大道东圃站,中山大道东圃站,94,,3,应合并(近距离),BV09403157,BV09403693
洛溪新城,洛溪新城分站,洛溪新城,92,,3,应合并(近距离),BV09239308,BV11688563
马克村,马克村站,马克村总站,92,,1,应合并(近距离),BV11424359,BV11403454
华阳湖路口,华阳湖路口2,华阳湖路口,92,,0,应合并(近距离),BV11671373,BV10494263
农讲所,农讲所1,农讲所,91,,0,应合并(近距离),BV09201207,BV11688432
克山,克山1,克山2,91,,9,应合并(近距离),BV09377937,BV09010643
沥滘路西,沥滘路西总站,沥滘路西,91,,0,应合并(近距离),BV11058606,BV11366954
天河东路,天河东路,天河东路1,90,,7,应合并(近距离),BV11688544,BV09310405
天河,天河2,天河1,90,,9,应合并(近距离),BV09321905,BV09348371
员村山顶,员村山顶2,员村山顶3,90,,10,应合并(近距离),BV09285359,BV09285360
云台花园,云台花园3,云台花园1,90,,2,应合并(近距离),BV09364566,BV09373903
石牌村,石牌村4,石牌村,89,,0,应合并(近距离),BV09387753,BV10018369
锦城花园,锦城花园,锦城花园1,89,,1,应合并(近距离),BV11171452,BV09364274
棠溪,棠溪,棠溪站3,88,,1,应合并(近距离),BV09001423,BV09045365
沙河,沙河2,沙河,87,,0,应合并(近距离),BV09263630,BV09375063
彩滨北路北,彩滨北路北站,彩滨北路北站,86,,1,应合并(近距离),BV09348790,BV11495706
南方医院,南方医院1,南方医院2,85,,3,应合并(近距离),BV09293281,BV09199575
云台花园,云台花园2,云台花园1,85,,1,应合并(近距离),BV09364271,BV09373903
三元里大道中,三元里大道中站,三元里大道中3,85,,1,应合并(近距离),BV11687945,BV09341551
农讲所,农讲所2,农讲所总站,83,,0,应合并(近距离),BV09185490,BV09187507
大江苑,大江苑,大江苑总站,83,,0,应合并(近距离),BV10021299,BV10323128
嘉鸿花园,嘉鸿花园站2,嘉鸿花园1,83,,0,应合并(近距离),BV09083275,BV09360318
嘉鸿花园,嘉鸿花园站2,嘉鸿花园,83,,0,应合并(近距离),BV09083275,BV10021775
陈洞村,陈洞村,陈洞村总站,83,,0,应合并(近距离),BV10018912,BV10388106
中山大道东圃,公共汽车BRT中山大道东圃站,公共汽车中山大道东圃站,83,,0,应合并(近距离),BV09403157,BV09403155
中山大道东圃,公共汽车BRT中山大道东圃站,中山大道东圃站,83,,0,应合并(近距离),BV09403157,BV09403374
一德西,一德西总站,一德西,82,,0,应合并(近距离),BV10021675,BV10018681
江南大道中,江南大道中1,江南大道中,82,,8,应合并(近距离),BV09228038,BV10015712
清湖村口,清湖村口2,清湖村口1,81,,3,应合并(近距离),BV09165291,BV09226087
乌冲,乌冲,乌冲,81,,1,应合并(近距离),BV11386241,BV10019591
体育中心东门,体育中心东门,体育中心东门2,80,,6,应合并(近距离),BV11678026,BV09219091
梓元岗,梓元岗1,梓元岗站,80,,0,应合并(近距离),BV09368674,BV09364515
梓元岗,梓元岗1,梓元岗3,80,,2,应合并(近距离),BV09368674,BV09373815
解放中路,解放中路,解放中路2,80,,15,应合并(近距离),BV11688461,BV09226097
武警医院,武警医院,武警医院1,80,,1,应合并(近距离),BV11687881,BV09260273
武警医院,武警医院,武警医院,80,,0,应合并(近距离),BV11687881,BV09244916
武警医院,武警医院1,武警医院2,80,,8,应合并(近距离),BV09260273,BV09344864
武警医院,武警医院2,武警医院,80,,0,应合并(近距离),BV09344864,BV09244916
农讲所,农讲所总站,农讲所,79,,1,应合并(近距离),BV09187507,BV11688432
正骨医院,正骨医院1,正骨医院2,79,,6,应合并(近距离),BV09230309,BV09230308
员村山顶,员村山顶3,员村山顶,79,,6,应合并(近距离),BV09285360,BV09006109
天河南,天河南2,天河南1,79,,7,应合并(近距离),BV10405865,BV11431965
杨箕村,杨箕村,杨箕村2,79,,4,应合并(近距离),BV11688472,BV09312331
凌塘村,凌塘村总站,凌塘村站1,79,,0,应合并(近距离),BV10019604,BV09081166
怡乐路,怡乐路,怡乐路总站,78,,0,应合并(近距离),BV10018258,BV11573302
芳村客运,芳村客运站1,芳村客运站,78,,9,应合并(近距离),BV09307685,BV10014060
棠安路,棠安路总站②,棠安路总站①,78,,0,应合并(近距离),CL100019,CL100018
豪景花园,豪景花园2,豪景花园1,77,,4,应合并(近距离),BV09314787,BV09097374
豪景花园,豪景花园,豪景花园1,77,,3,应合并(近距离),BV10326995,BV09097374
华侨医院(潭村),华侨医院(潭村),华侨医院(潭村)1,77,,4,应合并(近距离),BV10539406,BV09232892
广州大道南(叠景路口),广州大道南(叠景路口)3,广州大道南(叠景路口),76,,0,应合并(近距离),BV09238939,BV09181701
瑶台,瑶台1,瑶台2,76,,5,应合并(近距离),BV09246642,BV09226113
中科院化学所,中科院化学所总站,中科院化学所,76,,0,应合并(近距离),BV10021334,BV11485003
星海公园,星海公园站,星海公园分站,76,,0,应合并(近距离),BV10014904,BV11132547
虎门渡口,虎门渡口站,虎门渡口总站,76,,0,应合并(近距离),BV09305393,BV09099103
桂花岗,桂花岗站2,桂花岗1,75,,0,应合并(近距离),BV09394525,BV11477575
桂花岗,桂花岗1,桂花岗2,75,,0,应合并(近距离),BV11477575,BV11477576
农讲所,农讲所1,农讲所总站,75,,0,应合并(近距离),BV09201207,BV09187507
黄村训练基地,黄村训练基地,黄村训练基地总站,75,,0,应合并(近距离),BV10018188,BV10387175
越秀桥,越秀桥2,越秀桥,74,,0,应合并(近距离),BV09246905,BV11688510
山村,山村1,山村2,74,,3,应合并(近距离),BV09254332,BV09250343
华坑生态村,华坑生态村,华坑生态村总站,74,,0,应合并(近距离),BV10021386,BV10017803
华工广州国际校区北门,华工广州国际校区北门,华工广州国际校区北门1,74,,1,应合并(近距离),BV09256511,BV09274273
南方报社,南方报社2,南方报社,72,,9,应合并(近距离),BV09233664,BV09005187
芳村合兴苑,芳村合兴苑2,芳村合兴苑总站,72,,0,应合并(近距离),BV09259264,BV10017990
双岗,双岗,双岗,72,,3,应合并(近距离),BV11386234,BV10014598
市交校,市交校,市交校1,71,,5,应合并(近距离),BV10014469,BV09226088
三水大塘中心广场,三水大塘中心广场,三水大塘中心广场总站,71,,1,应合并(近距离),BV11630719,BV11625129
大沙头,大沙头,大沙头总站,70,,0,应合并(近距离),BV11688477,BV10019191
地铁横沙,地铁横沙站,地铁横沙站2,70,,2,应合并(近距离),BV10016979,BV11621971
温泉明月山溪,温泉明月山溪总站,温泉明月山溪,70,,0,应合并(近距离),BV10022876,BV11115193
大元帅府,大元帅府总站,大元帅府,69,,0,应合并(近距离),BV10018245,BV10015732
石牌村,石牌村4,石牌村1,69,,10,应合并(近距离),BV09387753,BV09256766
新丰路口,新丰路口1,新丰路口站,69,,0,应合并(近距离),BV09235566,BV11688330
图书馆,图书馆,图书馆总站,69,,1,应合并(近距离),BV11689996,BV11456554
石路基,石路基,石路基2,68,,2,应合并(近距离),BV11688484,BV09337403
新市墟,新市墟3,新市墟4,67,,2,应合并(近距离),BV09161217,BV09404762
新市墟,新市墟3,新市墟,67,,2,应合并(近距离),BV09161217,BV11687839
六二三路,六二三路,六二三路2,67,,1,应合并(近距离),BV11688352,BV09355408
汾水小区,汾水小区总站,汾水小区,66,,0,应合并(近距离),BV10018714,BV09405895
中山大道东圃,中山大道东圃站,公共汽车中山大道东圃站,66,,0,应合并(近距离),BV09403693,BV09403158
广师大,BRT广师大站,广师大站,65,,3,应合并(近距离),BV09403156,BV09397777
从化汽车,从化汽车站,从化汽车站2,65,,0,应合并(近距离),BV10451069,BV09223054
东方广场北门,东方广场北门,东方广场北门总站,65,,1,应合并(近距离),BV11139067,BV10252150
广东培正学院,广东培正学院总站,广东培正学院,64,,0,应合并(近距离),BV11694312,BV11602522
越秀公园,越秀公园2,越秀公园3,63,,10,应合并(近距离),BV09226094,BV11596047
越秀公园,越秀公园2,越秀公园,63,,1,应合并(近距离),BV09226094,BV11688125
广州碧桂园,广州碧桂园站,广州碧桂园总站,63,,0,应合并(近距离),BV11688559,BV10015046
