站点ID,记录中出现过的站名,bus_stops站名
BV09005242,太和文化广场 / 太和文化广场站,太和文化广场站
BV09273926,瀛洲生态公园 / 瀛洲生态公园站,瀛洲生态公园
BV11629687,罗冲围客运站 / 罗冲围客运站1,罗冲围客运站1
BV09341551,三元里大道中3 / 三元里大道中,三元里大道中3
BV10021889,员村二横路南 / 员村二横路南站,员村二横路南
BV11689052,锦绣文化中心站 / 锦绣文化中心,锦绣文化中心
BV11689359,万宝工业基地站 / 万宝工业基地,万宝工业基地
BV09010639,金沙洲大桥西 / 金沙洲大桥西2,金沙洲大桥西2
BV10713669,金沙洲大桥西站 / 金沙洲大桥西,金沙洲大桥西
BV11689284,南村综合市场 / 南村综合市场站,南村综合市场站
BV11371296,国际文化中心站 / 国际文化中心,国际文化中心站
BV11688055,万博翠湖花园 / 万博翠湖花园站,万博翠湖花园
BV10022807,会展中心码头站 / 会展中心码头,会展中心码头站
BV11465988,雅居乐花园A / 雅居乐花园A站,雅居乐花园A站
BV11164934,安博基业公司站 / 安博基业公司,安博基业公司站
BV11419908,桂畔水利枢纽站 / 桂畔水利枢纽,桂畔水利枢纽站
BV09344027,黄埔区少年宫 / 黄埔区少年宫站,黄埔区少年宫站
BV11690383,丰乐北横路口 / 丰乐北横路口站,丰乐北横路口
BV11486939,边防指挥学校 / 边防指挥学校站,边防指挥学校
BV10847097,萝岗香雪牌坊站 / 萝岗香雪牌坊,萝岗香雪牌坊站
BV11279607,黄埔区图书馆 / 黄埔区图书馆站,黄埔区图书馆站
BV10847061,演艺中心北门站 / 演艺中心北门,演艺中心北门
BV10021362,深井文塔公园 / 深井文塔公园站,深井文塔公园站
BV09018361,天鹿湖隧道北站 / 天鹿湖隧道北,天鹿湖隧道北
BV11467004,云埔工业区口 / 云埔工业区口站,云埔工业区口
BV10885198,玉树新村路口站 / 玉树新村路口,玉树新村路口站
BV11379026,中海誉城南门站 / 中海誉城南门,中海誉城南门
BV09332613,科学信息大厦站 / 科学信息大厦,科学信息大厦站
BV11591687,石化生活区南 / 石化生活区南站,石化生活区南
BV11591688,大沙东延长线 / 大沙东延长线站,大沙东延长线
BV11597699,黄船集体宿舍 / 黄船集体宿舍站,黄船集体宿舍站
BV09385693,演艺中心南门 / 演艺中心南门站,演艺中心南门站
BV11584749,钧明欢乐世界站 / 钧明欢乐世界,钧明欢乐世界站
BV11102411,广惠高速路口站 / 广惠高速路口,广惠高速路口
BV10847176,萝岗市民广场站 / 萝岗市民广场,萝岗市民广场
BV10847168,萝岗会议中心站 / 萝岗会议中心,萝岗会议中心站
BV11689176,天河儿童公园 / 天河儿童公园站,天河儿童公园
BV10847053,中华永久墓园站 / 中华永久墓园,中华永久墓园
BV11602136,东圃大马路北 / 东圃大马路北站,东圃大马路北
BV11388446,庙南高速路口站 / 庙南高速路口,庙南高速路口站
BV09006176,龙归华侨医院 / 龙归华侨医院站,龙归华侨医院
BV10018101,广州亿仁医院站 / 广州亿仁医院,广州亿仁医院
BV10018188,黄村训练基地 / 黄村训练基地站,黄村训练基地
BV09197875,开发区管委会 / 开发区管委会站,开发区管委会站
BV09355001,悦兴综合市场站 / 悦兴综合市场,悦兴综合市场
BV09368448,南山丰景花园站 / 南山丰景花园,南山丰景花园
BV11482324,丰泰小区路口 / 丰泰小区路口站,丰泰小区路口
BV11484179,何布村工业区 / 何布村工业区站,何布村工业区
BV11519173,粤垦路瑞心苑 / 粤垦路瑞心苑站,粤垦路瑞心苑
BV11690334,人和华侨医院 / 人和华侨医院站,人和华侨医院
BV11545108,上下九步行街 / 上下九步行街站,上下九步行街
BV11341530,科技服务中心 / 科技服务中心站,科技服务中心站
BV11166864,钟落潭高校园 / 钟落潭高校园站,钟落潭高校园
BV11621260,龙归竹木市场 / 龙归竹木市场站,龙归竹木市场
BV10788524,浔峰山东路北站 / 浔峰山东路北,浔峰山东路北站
BV10949218,双和大马路中站 / 双和大马路中,双和大马路中
BV09389673,双和大马路西站 / 双和大马路西,双和大马路西
BV09410386,新世纪广场东 / 新世纪广场东站,新世纪广场东站
BV11689613,广花五路路口 / 广花五路路口站,广花五路路口
BV11341993,中恒商业广场站 / 中恒商业广场,中恒商业广场
BV11401368,人和华成路口 / 人和华成路口站,人和华成路口
BV11428995,培正大道路口 / 培正大道路口站,培正大道路口
BV11306480,杨屋中心市场 / 杨屋中心市场站,杨屋中心市场
BV09325373,明华综合市场 / 明华综合市场站,明华综合市场站
BV11621263,瑚琏农贸市场 / 瑚琏农贸市场站,瑚琏农贸市场
BV11541147,人和华成路东 / 人和华成路东站,人和华成路东站
BV11602141,人和华成路中 / 人和华成路中站,人和华成路中站
BV11477135,百花岭北街口 / 百花岭北街口站,百花岭北街口
BV11519174,岑村公安宿舍 / 岑村公安宿舍站,岑村公安宿舍站
BV11485003,中科院化学所 / 中科院化学所站,中科院化学所
BV11330435,市饲料研究所 / 市饲料研究所站,市饲料研究所站
BV09328566,芳村体育中心 / 芳村体育中心站,芳村体育中心站
BV11691290,沙湾古镇南门 / 沙湾古镇南门站,沙湾古镇南门站
BV11623857,南医大五附院 / 南医大五附院站,南医大五附院站
BV11625940,灌村文化广场 / 灌村文化广场站,灌村文化广场
BV11297666,温泉农贸市场 / 温泉农贸市场站,温泉农贸市场
BV09369964,开发区管委会站 / 开发区管委会,开发区管委会站
BV09006384,大转弯夹板城 / 大转弯夹板城站,大转弯夹板城
BV11689968,桂澜海六路口站 / 桂澜海六路口,桂澜海六路口站
BV11251692,环岛南路路口 / 环岛南路路口站,环岛南路路口
BV11688743,礌岗公园南门 / 礌岗公园南门站,礌岗公园南门
BV10432504,罗村中心广场 / 罗村中心广场站,罗村中心广场
BV11689961,华南汽车城西 / 华南汽车城西站,华南汽车城西站
BV10791685,狮山高级中学 / 狮山高级中学站,狮山高级中学
BV10252247,长虹岭工业园 / 长虹岭工业园站,长虹岭工业园站
BV11462230,大沥综合市场站 / 大沥综合市场,大沥综合市场
BV10019658,广州科贸学院站 / 广州科贸学院,广州科贸学院
BV11688127,金山大道路口站 / 金山大道路口,金山大道路口站
BV11688150,南村文化广场 / 南村文化广场站,南村文化广场
BV09412958,保利城南怡湾 / 保利城南怡湾站,保利城南怡湾站
BV10323002,龙城商业中心站 / 龙城商业中心,龙城商业中心站
BV10980872,南沙港务大厦站 / 南沙港务大厦,南沙港务大厦站
BV09088845,物流基地三期 / 物流基地三期站,物流基地三期
BV09244064,南沙湿地公园 / 南沙湿地公园站,南沙湿地公园
BV10388411,新围中心公园站 / 新围中心公园,新围中心公园
BV10024076,龙光棕榈水岸站 / 龙光棕榈水岸,龙光棕榈水岸站
BV11689813,南沙十里方圆站 / 南沙十里方圆,南沙十里方圆站
BV11443817,万科海上明月站 / 万科海上明月,万科海上明月
BV09170507,广晟海韵兰亭站 / 广晟海韵兰亭,广晟海韵兰亭
BV11669460,花语阳光花园 / 花语阳光花园站,花语阳光花园
BV10761065,东湖洲花园C站 / 东湖洲花园C,东湖洲花园C
BV10761066,东湖洲花园A站 / 东湖洲花园A,东湖洲花园A
BV11343716,大岗文化中心 / 大岗文化中心站,大岗文化中心站
BV11174463,南沙小学西门 / 南沙小学西门站,南沙小学西门站
BV10923701,番禺会议中心站 / 番禺会议中心,番禺会议中心
BV09339491,开发区管委会站 / 开发区管委会,开发区管委会站
BV10964949,城市花园路口站 / 城市花园路口,城市花园路口
BV09001102,海伦堡创意园 / 海伦堡创意园站,海伦堡创意园
BV11689918,钟村文化广场 / 钟村文化广场站,钟村文化广场
BV09343808,番禺区图书馆站 / 番禺区图书馆,番禺区图书馆
BV11151535,新世界大厦A / 新世界大厦A站,新世界大厦A
BV11376455,君华香柏华府 / 君华香柏华府站,君华香柏华府站
BV11403267,京珠高速桥底站 / 京珠高速桥底,京珠高速桥底站
BV11591012,人民医院新院 / 人民医院新院站,人民医院新院站
BV09414030,民航学院路口 / 民航学院路口站,民航学院路口
BV11550145,花都广场 / 花都广场(区政府),花都广场(区政府)
BV09409767,汽车城管委会 / 汽车城管委会站,汽车城管委会
BV11602522,广东培正学院 / 广东培正学院站,广东培正学院
BV11147687,广东行政学院站 / 广东行政学院,广东行政学院
BV09237023,瑞岭华南小学 / 瑞岭华南小学站,瑞岭华南小学
BV11346507,交通驾培中心站 / 交通驾培中心,交通驾培中心
BV11364030,西头高速路口站 / 西头高速路口,西头高速路口
BV09376898,桥中站1 / 桥中1 / 桥中,桥中站1
BV09226080,嘉禾 / 嘉禾2 / 嘉禾总站,嘉禾2
BV09396961,同和2 / 同和站2 / 同和,同和站2
BV11028709,白兔村路口1 / 白兔村路口2,白兔村路口1
BV11359303,南星汤屋社1 / 南星汤屋社2,南星汤屋社1
BV09226122,广东电视台 / 广东电视台1,广东电视台1
BV10943425,区庄立交西站 / 区庄立交西,区庄立交西站
BV11689362,中大北门西 / 中大北门西站,中大北门西
BV11688566,广州大桥底站 / 广州大桥底,广州大桥底
BV10832644,东漖怀宁坊 / 东漖怀宁坊站,东漖怀宁坊
BV11441879,龙溪大道东 / 龙溪大道东站,龙溪大道东
BV11688519,广东药学院 / 广东药学院站,广东药学院
BV10017993,东沙大道南 / 东沙大道南站,东沙大道南
BV10016123,宝岗大道南 / 宝岗大道南站,宝岗大道南
BV09175488,上涌2 / 上涌 / 上涌站,上涌2
BV09230306,广州大道中2 / 广州大道中,广州大道中2
BV11688580,解放南路口 / 解放南路口站,解放南路口
BV11196681,海珠客运站2 / 海珠客运站,海珠客运站2
BV11167648,黄石东路口1 / 黄石东路口,黄石东路口1
BV09167548,黄石东路口2 / 黄石东路口,黄石东路口2
BV10014519,华南碧桂园站 / 华南碧桂园,华南碧桂园
BV11312279,星海音乐厅 / 星海音乐厅站,星海音乐厅
BV11154005,洲头咀公园 / 洲头咀公园站,洲头咀公园
BV11167722,广医3 / 广医站 / 广医,广医3
BV11687847,广州大道中站 / 广州大道中,广州大道中
BV09404373,中山纪念堂 / 中山纪念堂站,中山纪念堂
BV09186856,广医 / 广医2 / 广医站,广医2
BV09262063,冼村3 / 冼村 / 冼村站,冼村3
BV11688358,琶洲大桥北 / 琶洲大桥北站,琶洲大桥北
BV10965117,琶洲塔公园 / 琶洲塔公园站,琶洲塔公园
BV10988164,红线女中心 / 红线女中心站,红线女中心
BV11688347,省荣军医院 / 省荣军医院站,省荣军医院
BV09335012,鹭江站 / 鹭江 / 鹭江2,鹭江2
BV09319409,江海大道中1 / 江海大道中,江海大道中1
BV10513040,龙潭村牌坊 / 龙潭村牌坊站,龙潭村牌坊站
BV09228038,江南大道中 / 江南大道中1,江南大道中1
BV09243516,江南大道北 / 江南大道北1,江南大道北1
BV11688507,芳村合兴苑 / 芳村合兴苑站,芳村合兴苑
BV11458809,芳村隧道口 / 芳村隧道口站,芳村隧道口
BV10713667,聚龙工业区 / 聚龙工业区站,聚龙工业区
BV09005969,柯子岭牌坊 / 柯子岭牌坊站,柯子岭牌坊
BV11113104,石潭西路北 / 石潭西路北站,石潭西路北
BV10015205,三元里古庙 / 三元里古庙站,三元里古庙
BV09364556,中医药大学 / 中医药大学站,中医药大学站
BV11687889,花地大道中 / 花地大道中站,花地大道中
BV11091380,解放北路口 / 解放北路口站,解放北路口站
BV11469474,松柏东街北站 / 松柏东街北,松柏东街北
BV11480681,省银行医院 / 省银行医院站,省银行医院站
BV11688517,江南大道口 / 江南大道口站,江南大道口
BV09226117,小北2 / 小北 / 小北1,小北2
BV09226115,动物园南门 / 动物园南门2,动物园南门2
BV11688499,芳村大道西 / 芳村大道西站,芳村大道西
BV09304064,芳村大道西 / 芳村大道西1,芳村大道西1
BV11688556,猎德大道北站 / 猎德大道北,猎德大道北站
BV10798985,花地大道南站 / 花地大道南,花地大道南站
BV10798987,渔尾大桥东站 / 渔尾大桥东,渔尾大桥东站
BV11688456,动物园南门 / 动物园南门站,动物园南门
BV09242193,华农大正门 / 华农大正门站,华农大正门
BV09061295,棠德花苑北 / 棠德花苑北站,棠德花苑北
BV09335053,文冲幸福里站 / 文冲幸福里,文冲幸福里站
BV10018100,石化生活区站 / 石化生活区,石化生活区站
BV11688559,广州碧桂园 / 广州碧桂园站,广州碧桂园站
BV10714266,笔村立交南站 / 笔村立交南,笔村立交南站
BV10714253,南岗化工厂站 / 南岗化工厂,南岗化工厂
BV11688486,东华东路西 / 东华东路西站,东华东路西
BV09307685,芳村客运站 / 芳村客运站1,芳村客运站1
BV09169831,南方大厦1 / 南方大厦站1,南方大厦1
BV11519176,天河科技街 / 天河科技街站,天河科技街
BV11637999,联和 / 联和1 / 联和站,联和1
BV09259264,芳村合兴苑2 / 芳村合兴苑,芳村合兴苑2
BV11688384,广州体育馆 / 广州体育馆站,广州体育馆
BV10454855,机务段路口站 / 机务段路口,机务段路口
BV11671145,纸厂横马路 / 纸厂横马路站,纸厂横马路站
BV11519170,员村四横路 / 员村四横路站,员村四横路站
BV09226104,海珠区妇幼 / 海珠区妇幼1,海珠区妇幼1
BV09226102,市红会医院 / 市红会医院1,市红会医院1
BV10639694,新滘东路东 / 新滘东路东站,新滘东路东站
BV09226069,机场立交北2 / 机场立交北,机场立交北2
BV09226107,小坪立交桥 / 小坪立交桥1,小坪立交桥1
BV09190192,黄埔大道东 / 黄埔大道东站,黄埔大道东站
BV11183741,聚德西路口 / 聚德西路口站,聚德西路口
BV11346873,朝阳开发区 / 朝阳开发区站,朝阳开发区
BV11689055,锦绣生态园站 / 锦绣生态园,锦绣生态园
BV11689166,岑村红花岗站 / 岑村红花岗,岑村红花岗
BV11691189,横枝岗路口 / 横枝岗路口站,横枝岗路口站
BV09086211,天河客运站1 / 天河客运站,天河客运站1
BV11687946,金海岸花园 / 金海岸花园站,金海岸花园
BV11689282,广州雅居乐 / 广州雅居乐站,广州雅居乐
BV10014702,节能科技园 / 节能科技园站,节能科技园
BV11626403,沙溪商贸城 / 沙溪商贸城站,沙溪商贸城
BV10022467,阅江西路西站 / 阅江西路西,阅江西路西站
BV10022811,阅江西路中站 / 阅江西路中,阅江西路中站
BV10022810,阅江西路东站 / 阅江西路东,阅江西路东站
BV10022806,会展中心北站 / 会展中心北,会展中心北站
BV11687924,植物园正门 / 植物园正门站,植物园正门
BV10014937,大岗派出所站 / 大岗派出所,大岗派出所站
BV09358020,顺德区政府站 / 顺德区政府,顺德区政府站
BV09355002,出口加工区站 / 出口加工区,出口加工区
BV11690287,开泰大道中 / 开泰大道中站,开泰大道中
BV11467015,云埔二路东 / 云埔二路东站,云埔二路东
BV11687857,黄埔体育馆 / 黄埔体育馆站,黄埔体育馆站
BV09192165,地铁萝岗站2 / 地铁萝岗站,地铁萝岗站2
BV11279613,大观中路南站 / 大观中路南,大观中路南站
BV10847078,科学大道西站 / 科学大道西,科学大道西站
BV10847058,科学大道中 / 科学大道中站,科学大道中
BV11467027,科学城路口 / 科学城路口站,科学城路口
BV09368640,黄旗山路南 / 黄旗山路南站,黄旗山路南
BV11687953,永和大道中站 / 永和大道中,永和大道中站
BV11687963,永和隧道南站 / 永和隧道南,永和隧道南站
BV10846988,生物研究院站 / 生物研究院,生物研究院站
BV10846993,开源大道中 / 开源大道中站,开源大道中站
BV09244441,香雪八路南站 / 香雪八路南,香雪八路南站
BV10016016,华工生活区站 / 华工生活区,华工生活区
BV11483203,开创大道中 / 开创大道中站,开创大道中
BV11687962,云埔工业区 / 云埔工业区站,云埔工业区
BV11504664,玉树新村口 / 玉树新村口站,玉树新村口
BV11466904,聆雨路路口 / 聆雨路路口站,聆雨路路口
BV11687887,科学大道口站 / 科学大道口,科学大道口
BV10013974,永和开发区 / 永和开发区站,永和开发区站
BV11488904,凤凰四路东 / 凤凰四路东站,凤凰四路东站
BV09355569,南翔二路中站 / 南翔二路中,南翔二路中
BV10885189,南翔二路东站 / 南翔二路东,南翔二路东站
BV10885193,南云三路南站 / 南云三路南,南云三路南
BV11573879,广汕一路东 / 广汕一路东站,广汕一路东站
BV11688329,高塘工业区 / 高塘工业区站,高塘工业区
BV11688328,广东软件园 / 广东软件园站,广东软件园站
BV11573873,福洞村路口站 / 福洞村路口,福洞村路口
BV11573886,广州商学院站 / 广州商学院,广州商学院
BV11170264,灵山东路西 / 灵山东路西站,灵山东路西
BV09323891,凤湖二路东站 / 凤湖二路东,凤湖二路东站
BV11597703,黄船二街口 / 黄船二街口站,黄船二街口站
BV11689283,开发区路口 / 开发区路口站,开发区路口站
BV11689293,开发区医院 / 开发区医院站,开发区医院站
BV11483387,九龙大道南 / 九龙大道南站,九龙大道南站
BV11483382,永龙大道中 / 永龙大道中站,永龙大道中站
BV11483383,永龙大道南 / 永龙大道南站,永龙大道南站
BV09192170,地铁香雪站 / 地铁香雪站2,地铁香雪站2
BV09260447,永安大道中 / 永安大道中站,永安大道中
BV10018408,云城东路北 / 云城东路北站,云城东路北站
BV09237616,新福大道中站 / 新福大道中,新福大道中站
BV09237614,小学北路东站 / 小学北路东,小学北路东站
BV11688343,永和综合楼站 / 永和综合楼,永和综合楼站
BV11484139,凤凰苑南门 / 凤凰苑南门站,凤凰苑南门
BV11102414,锦绣新天地站 / 锦绣新天地,锦绣新天地
BV09326598,中心南大街 / 中心南大街站,中心南大街
BV09254010,长洲岛小学 / 长洲岛小学站,长洲岛小学站
BV11466909,笔村立交北 / 笔村立交北站,笔村立交北
BV09188679,黄边北路口 / 黄边北路口站,黄边北路口
BV09000513,吉山幼儿园 / 吉山幼儿园站,吉山幼儿园
BV11690382,新阳西路口站 / 新阳西路口,新阳西路口
BV09192166,地铁萝岗站 / 地铁萝岗站1,地铁萝岗站1
BV11118502,广氮花园南站 / 广氮花园南,广氮花园南站
BV10014666,花城大道东 / 花城大道东站,花城大道东
BV11688356,车陂公交场 / 车陂公交场站,车陂公交场
BV09291510,家家乐医院2 / 家家乐医院,家家乐医院2
BV11688359,家家乐医院 / 家家乐医院站,家家乐医院
BV09083524,横沥派出所站 / 横沥派出所,横沥派出所站
BV09269062,横沥镇政府站 / 横沥镇政府,横沥镇政府站
BV11167615,葵蓬西滘村 / 葵蓬西滘村站,葵蓬西滘村站
BV10018964,龙兴西路西 / 龙兴西路西站,龙兴西路西
BV11279612,黄村康体路站 / 黄村康体路,黄村康体路站
BV10017830,新新大道中站 / 新新大道中,新新大道中
BV11467035,光谱西路中 / 光谱西路中站,光谱西路中
BV09242688,新滘西路西 / 新滘西路西站,新滘西路西
BV09242696,草庄东路口 / 草庄东路口站,草庄东路口站
BV11688052,神山商贸城 / 神山商贸城站,神山商贸城站
BV11488073,神山大道西 / 神山大道西站,神山大道西站
BV11484172,五丰工业区 / 五丰工业区站,五丰工业区
BV11484170,茅山新庄口 / 茅山新庄口站,茅山新庄口
BV11484173,茅山村委会 / 茅山村委会站,茅山村委会
BV09243507,寮采南路口站 / 寮采南路口,寮采南路口
BV09212859,寮采中路口站 / 寮采中路口,寮采中路口
BV11690335,双岗向南庄站 / 双岗向南庄,双岗向南庄
BV11390059,亭石南路南 / 亭石南路南站,亭石南路南
BV11390063,亭石南路北 / 亭石南路北站,亭石南路北站
BV11687918,龙洞北路东 / 龙洞北路东站,龙洞北路东
BV09212867,科学大道口 / 科学大道口2,科学大道口2
BV11624668,跑马地花园站 / 跑马地花园,跑马地花园
BV11519172,金燕生活区 / 金燕生活区站,金燕生活区
BV09212869,家家乐医院1 / 家家乐医院,家家乐医院1
BV10013971,白云区医院 / 白云区医院站,白云区医院
BV11098346,七星岗路口站 / 七星岗路口,七星岗路口站
BV11098353,新科工业区站 / 新科工业区,新科工业区站
BV11690767,均禾大道中 / 均禾大道中站,均禾大道中
BV09115546,江村大桥南 / 江村大桥南站,江村大桥南
BV11688099,江村大桥北 / 江村大桥北站,江村大桥北
BV11689610,大朗中路口 / 大朗中路口站,大朗中路口站
BV11689611,大朗北路口 / 大朗北路口站,大朗北路口站
BV11488084,旧江村桥头 / 旧江村桥头站,旧江村桥头
BV11688385,永泰新村口 / 永泰新村口站,永泰新村口
BV11341529,863中心 / 863中心站,863中心站
BV11624699,永和派出所 / 永和派出所站,永和派出所
BV11162260,凤凰城路口 / 凤凰城路口站,凤凰城路口站
BV11693999,钟落潭路口站 / 钟落潭路口,钟落潭路口站
BV10019170,云城东路南 / 云城东路南站,云城东路南
BV11691999,环洲三路西 / 环洲三路西站,环洲三路西
BV10713679,建设大道中 / 建设大道中站,建设大道中
BV09369459,浔峰山东路 / 浔峰山东路站,浔峰山东路
BV11477132,黄边北路中 / 黄边北路中站,黄边北路中
BV11435993,天马河公馆站 / 天马河公馆,天马河公馆
BV11481133,滘心工业区 / 滘心工业区站,滘心工业区
BV11345929,新雅街道办 / 新雅街道办站,新雅街道办站
BV09001426,新华街道办 / 新华街道办站,新华街道办站
BV11690805,财富工业园站 / 财富工业园,财富工业园
BV11691203,邦一工业园站 / 邦一工业园,邦一工业园
BV11691202,石塘水泥厂站 / 石塘水泥厂,石塘水泥厂
BV11568715,飞粤大道南 / 飞粤大道南站,飞粤大道南站
BV09120470,飞粤大道中 / 飞粤大道中站,飞粤大道中站
BV11568709,花东镇政府 / 花东镇政府站,花东镇政府
BV11401364,花东派出所 / 花东派出所站,花东派出所
BV09407241,东湖安置区 / 东湖安置区站,东湖安置区
BV11306472,邝维煜中学 / 邝维煜中学站,邝维煜中学
BV09000744,三东大道西 / 三东大道西站,三东大道西
BV11388332,北兴供电所站 / 北兴供电所,北兴供电所
BV09002108,车辆厂技校 / 车辆厂技校站,车辆厂技校
BV09113538,龙岗大桥南站 / 龙岗大桥南,龙岗大桥南站
BV11330441,沙亭岗村口 / 沙亭岗村口站,沙亭岗村口站
BV11621261,龙兴中路口 / 龙兴中路口站,龙兴中路口
BV11477134,百花岭北街站 / 百花岭北街,百花岭北街
BV11482314,太和派出所 / 太和派出所站,太和派出所站
BV11478462,武警一中队 / 武警一中队站,武警一中队
BV09370266,岑村红花岗1 / 岑村红花岗,岑村红花岗1
BV11485006,植物园西门 / 植物园西门站,植物园西门
BV11627312,沙凤一路西 / 沙凤一路西站,沙凤一路西
BV11330443,天骄物流园 / 天骄物流园站,天骄物流园站
BV11687940,江海大道中站 / 江海大道中,江海大道中
BV09005986,黄石东路口 / 黄石东路口站,黄石东路口
BV11484182,机保段新村站 / 机保段新村,机保段新村
BV10857109,东雅图酒店站 / 东雅图酒店,东雅图酒店
BV11467018,南翔一路中 / 南翔一路中站,南翔一路中站
BV09355564,南翔一路东 / 南翔一路东站,南翔一路东站
BV09208608,高增大桥北 / 高增大桥北站,高增大桥北站
BV11400777,兴太一路东站 / 兴太一路东,兴太一路东站
BV11487653,向西大道口 / 向西大道口站,向西大道口站
BV11487659,向西大道中 / 向西大道中站,向西大道中站
BV11415298,流溪河大桥 / 流溪河大桥站,流溪河大桥站
BV09376473,河东南路中 / 河东南路中站,河东南路中
BV11456558,广播电视台 / 广播电视台站,广播电视台
BV09223054,从化汽车站2 / 从化汽车站,从化汽车站2
BV11456547,从化供电局 / 从化供电局站,从化供电局
BV11491310,山下村路口 / 山下村路口站,山下村路口站
BV11483210,太平卫生院 / 太平卫生院站,太平卫生院
BV09000897,大沥城区南 / 大沥城区南站,大沥城区南
BV10254406,平洲玉器街 / 平洲玉器街站,平洲玉器街
BV11175926,灯湖西路南 / 灯湖西路南站,灯湖西路南
BV11175931,南海体育馆 / 南海体育馆站,南海体育馆
BV09298630,深涌工业区 / 深涌工业区站,深涌工业区
BV09003077,盐步大道北 / 盐步大道北站,盐步大道北
BV11541079,草场工业区 / 草场工业区站,草场工业区站
BV11371463,安怀外工村 / 安怀外工村站,安怀外工村
BV10641791,黄岐办事处 / 黄岐办事处站,黄岐办事处
BV09399076,宏岗沥口村站 / 宏岗沥口村,宏岗沥口村站
BV10018066,星河湾北门 / 星河湾北门站,星河湾北门
BV10019652,番禺大桥底 / 番禺大桥底站,番禺大桥底
BV11131944,星河湾四期站 / 星河湾四期,星河湾四期站
BV10019962,七星岗公园站 / 七星岗公园,七星岗公园
BV11688128,江南工业区 / 江南工业区站,江南工业区
BV10803820,越秀造纸厂站 / 越秀造纸厂,越秀造纸厂站
BV10015879,万顷沙中学站 / 万顷沙中学,万顷沙中学站
BV09077735,黄阁汽车城 / 黄阁汽车城站,黄阁汽车城站
BV09371833,沙公堡路口 / 沙公堡路口站,沙公堡路口站
BV09409289,丰田汽车厂站 / 丰田汽车厂,丰田汽车厂站
BV10323005,黄埔造船厂站 / 黄埔造船厂,黄埔造船厂站
BV09389440,金岭南路口站 / 金岭南路口,金岭南路口站
BV10015933,互太印染厂站 / 互太印染厂,互太印染厂站
BV10015880,珠江西一路站 / 珠江西一路,珠江西一路站
BV10015909,东涌东丫村站 / 东涌东丫村,东涌东丫村站
BV10023183,天益工业区站 / 天益工业区,天益工业区站
BV09304950,鱼窝头二中站 / 鱼窝头二中,鱼窝头二中站
BV09305166,太石工业区站 / 太石工业区,太石工业区站
BV10017997,万安工业区 / 万安工业区站,万安工业区站
BV10641085,榄核派出所 / 榄核派出所站,榄核派出所站
BV10014974,榄核镇政府站 / 榄核镇政府,榄核镇政府站
BV11438901,叠翠峰西门站 / 叠翠峰西门,叠翠峰西门站
BV09302422,南沙湾御苑站 / 南沙湾御苑,南沙湾御苑站
BV09077733,鸡谷山路西站 / 鸡谷山路西,鸡谷山路西
BV11171569,黄阁保利城 / 黄阁保利城站,黄阁保利城
BV09293280,区政府东门 / 区政府东门站,区政府东门站
BV09358642,冯马二村委 / 冯马二村委站,冯马二村委站
BV09371832,进港大道西 / 进港大道西站,进港大道西
BV11619538,番禺大道南站 / 番禺大道南,番禺大道南
BV11664540,华润热电厂站 / 华润热电厂,华润热电厂站
BV09338878,中海锦城南站 / 中海锦城南,中海锦城南站
BV11663140,中信香樟墅 / 中信香樟墅站,中信香樟墅站
BV09400274,荔城街道办 / 荔城街道办站,荔城街道办
BV11403278,增城广场西 / 增城广场西站,增城广场西
BV11119341,百晟汇翠湾站 / 百晟汇翠湾,百晟汇翠湾
BV09372075,二龙田心村站 / 二龙田心村,二龙田心村
BV11692687,东凌工业园 / 东凌工业园站,东凌工业园
BV11689661,新塘供电所 / 新塘供电所站,新塘供电所
BV09143805,东风西路2 / 东风西路站2,东风西路2
BV09069600,中山大道中 / 中山大道中站,中山大道中
BV09174824,广卫路总站4 / 广卫路总站,广卫路总站4
BV11689060,新世纪广场站 / 新世纪广场,新世纪广场
BV10016705,市政园林局 / 市政园林局站,市政园林局
BV09315831,地铁横沙站 / 地铁横沙站1,地铁横沙站1
BV09269178,江畔湾北门站 / 江畔湾北门,江畔湾北门
BV11671373,华阳湖路口 / 华阳湖路口2,华阳湖路口2
BV09005940,草场居委会 / 草场居委会站,草场居委会站
BV09348790,彩滨北路北站 / 彩滨北路北,彩滨北路北站
BV11164924,联邦工业城 / 联邦工业城站,联邦工业城
BV09254334,莲港大道西站 / 莲港大道西,莲港大道西站
BV11507781,山海湾南门站 / 山海湾南门,山海湾南门站
BV10840953,星河湾酒店 / 星河湾酒店站,星河湾酒店
BV10903174,市桥二桥南站 / 市桥二桥南,市桥二桥南站
BV11442563,联围村路口站 / 联围村路口,联围村路口
BV11544671,国际1号货站 / 国际1号货,国际1号货站
BV11346377,清布安置区站 / 清布安置区,清布安置区站
BV09313066,南菱汽车城 / 南菱汽车城站,南菱汽车城站
BV11614567,岐山村市场站 / 岐山村市场,岐山村市场
BV11375033,碧桂园路口 / 碧桂园路口站,碧桂园路口
BV11345857,超邦化工厂站 / 超邦化工厂,超邦化工厂站
BV10409985,新塘太阳城站 / 新塘太阳城,新塘太阳城
BV09083275,嘉鸿花园站2 / 嘉鸿花园,嘉鸿花园站2
BV09360104,六二三路 / 六二三路站1,六二三路站1
BV09226128,体育中心站 / 体育中心1,体育中心1
BV11352299,福上下社1 / 福上下社2,福上下社1
BV09316767,小北花圈2 / 小北花圈,小北花圈2
